strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,2022 Return,2023+ CAGR,family,throttle,throttle_description,idle_asset
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,0.0,Full Sample,2018-01-02,2026-04-02,3.864953627885349,0.21148644166473662,-0.45376701841858935,0.8265844200795156,0.7815577475523527,0.08066882580829976,0.17727963090778706,1.1473810803073954,1.0635557606813186,1.2675437344466098,0.3950418800210779,0.6049581199789221,0.6049581199789221,-0.1615049100007211,0.2122848850176633,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,0.0,2018-2021,2018-01-02,2021-12-31,2.106955535298883,0.3281663807321038,-0.45376701841858935,1.0176317710319978,0.9671328504862722,0.082085275683285,0.30940054890555874,1.3397051955338386,1.3952426845101944,1.4794569807760352,0.43513858646664244,0.5648614135333575,0.5648614135333575,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,0.0,2022,2022-01-03,2022-12-30,-0.1615049100007211,-0.16324193540946053,-0.1735824461427301,-2.0223632137263814,0.050776770298325884,-0.15558938548802412,0.540881559035779,0.0,0.26051446687760116,0.5123799214934135,0.027606347320967776,0.9723936526790322,0.9723936526790322,-0.1615049100007211,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,0.0,2023+,2023-01-03,2026-04-02,0.8674248907468398,0.2122848850176633,-0.20252494627034068,0.9117739945550845,1.0229826963537256,-0.05193791163757917,-0.3342766713897081,1.138975270271274,1.879636562043412,1.2441728620606167,0.4586110071506467,0.5413889928493533,0.5413889928493533,,0.2122848850176633,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,5.0,Full Sample,2018-01-02,2026-04-02,3.83936770857858,0.21071201227121783,-0.45450807554451045,0.8242661257910064,0.7815841755177776,0.08002868065446385,0.1743279308906257,1.1464717151357824,1.064964512617286,1.2675437344466098,0.3950418800210779,0.6049581199789221,0.6049581199789221,-0.16171926304894513,0.21153058719506745,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,5.0,2018-2021,2018-01-02,2021-12-31,2.09765441401849,0.327169884669696,-0.45450807554451045,1.0153282036614026,0.9671781984130543,0.08133445479825877,0.30624109115450027,1.3385464731647467,1.39682171816517,1.4794569807760352,0.43513858646664244,0.5648614135333575,0.5648614135333575,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,5.0,2022,2022-01-03,2022-12-30,-0.16171926304894513,-0.16345836239765144,-0.173793711687261,-2.0247083302514675,0.05079275718315594,-0.1558381047214478,0.5400735821937762,0.0,0.26086022769738937,0.5123799214934135,0.027606347320967776,0.9723936526790322,0.9723936526790322,-0.16171926304894513,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,5.0,2023+,2023-01-03,2026-04-02,0.863657799264506,0.21153058719506745,-0.202524946270341,0.909215207694445,1.022989632598576,-0.05256383086354807,-0.33882892353275357,1.1382048491373713,1.8825972041900252,1.2441728620606167,0.4586110071506467,0.5413889928493533,0.5413889928493533,,0.21153058719506745,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,10.0,Full Sample,2018-01-02,2026-04-02,3.8139113750476614,0.2099379262444454,-0.455248330756692,0.8219469044623676,0.7816106034832023,0.07938853550062795,0.17137629229662782,1.1455624515588405,1.066372771032739,1.2675437344466098,0.3950418800210779,0.6049581199789221,0.6049581199789221,-0.16193359174012978,0.2107766339377546,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
hybrid_tqqq_followup::baseline::cash,hybrid_tqqq_followup::baseline::cash,10.0,2018-2021,2018-01-02,2021-12-31,2.0883790889911333,0.3261739160997692,-0.455248330756692,1.0130236553250918,0.9672235463398369,0.08058363391323244,0.3030816579360313,1.337387869156218,1.3983999614261473,1.4794569807760352,0.43513858646664244,0.5648614135333575,0.5648614135333575,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",CASH
