strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Ulcer Index,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,Average Scale While Invested,2022 Return,2023+ CAGR,family,scaling,scaling_description,idle_asset
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,0.0,Full Sample,2018-01-02,2026-04-02,4.241858067670606,0.2224985051649182,-0.4537670219512815,12.288032457130226,0.2807942527371727,0.8590040616972735,0.7815959197660712,0.08971926219916983,0.21925360268043212,1.1634559345968802,1.047723498691548,1.2726290657246742,0.3949161432235001,0.5550838567764999,0.05000000000000001,1.0,-0.16094747221032568,0.24023598893760867,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,0.0,2018-2021,2018-01-02,2021-12-31,2.106955538863576,0.3281663811135862,-0.4537670219512815,12.322844754206143,0.3343531899660587,1.017632048071479,0.9671304177302957,0.08208575204911082,0.3093995629277704,1.3397065991933268,1.3952464645193492,1.4919739331536854,0.43513857926198757,0.5148614207380124,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,0.0,2022,2022-01-03,2022-12-30,-0.16094747221032568,-0.16267910116631934,-0.17358241218326942,17.00106528483551,0.08557725863357606,-2.0143922726332266,0.05081646006326282,-0.1549083328044079,0.5430125590639115,0.0,0.259441968935757,0.5123799195847096,0.027606347089391997,0.9223936529106079,0.05,1.0,-0.16094747221032568,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,0.0,2023+,2023-01-03,2026-04-02,1.010763850664984,0.24023598893760867,-0.20112248792367227,7.484087863525461,0.24467609425863857,1.005733188202808,1.0229339906950543,-0.029079931827804363,-0.16771047530748084,1.1805459502569293,1.8103203484360122,1.2416874485412759,0.4582910429816177,0.4917089570183824,0.05,1.0,,0.24023598893760867,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,5.0,Full Sample,2018-01-02,2026-04-02,4.214182011317579,0.22171397042406604,-0.4545080790167939,12.311460441662414,0.28081372396680215,0.856674059479482,0.781621961336206,0.0890766442470098,0.21628536629895082,1.1625391998837997,1.0491332582743544,1.2726290657246742,0.3949161432235001,0.5550838567764999,0.05000000000000001,1.0,-0.16116196775788294,0.23946594420737966,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,5.0,2018-2021,2018-01-02,2021-12-31,2.0975769774384423,0.3271615789222708,-0.4545080790167939,12.347922859438453,0.33438422953361,1.0153097118002479,0.9671748571215087,0.08132892377090997,0.306213393337487,1.3385327199154111,1.396825501788881,1.4919739331536854,0.43513857926198757,0.5148614207380124,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,5.0,2022,2022-01-03,2022-12-30,-0.16116196775788294,-0.16289567372704838,-0.17379367773237242,17.021365430830517,0.08560371058308373,-2.01673952095231,0.050832447216506794,-0.1551570519443235,0.5422045378777843,0.0,0.25978772956945045,0.5123799195847096,0.027606347089391997,0.9223936529106079,0.05,1.0,-0.16116196775788294,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,5.0,2023+,2023-01-03,2026-04-02,1.0067162449629734,0.23946594420737966,-0.2011224879236717,7.500255198481181,0.24467865166648115,1.0031772689326897,1.0229412492082917,-0.029704691104599622,-0.17226635339526875,1.1797771547842468,1.8132855157217878,1.2416874485412759,0.4582910429816177,0.4917089570183824,0.05,1.0,,0.23946594420737966,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,10.0,Full Sample,2018-01-02,2026-04-02,4.186646720714057,0.22092978618618875,-0.45524833416871313,12.334929363802289,0.2808336217967468,0.8543430825656202,0.781648002906341,0.08843402629484975,0.2133170887762941,1.1616225665617246,1.0505425240102984,1.2726290657246742,0.3949161432235001,0.5550838567764999,0.05000000000000001,1.0,-0.1613764389322091,0.2386962504047463,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,10.0,2018-2021,2018-01-02,2021-12-31,2.08822467602542,0.3261573165344891,-0.45524833416871313,12.373040087323185,0.33441573433569555,1.012986397381014,0.9672192965127219,0.08057209549270908,0.303027262277505,1.337358958998154,1.3984037486627192,1.4919739331536854,0.43513857926198757,0.5148614207380124,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
